tokenNumber,name,text,score,imagePath,imageUrl
2708,drifella 2 #2708,2,0.6966996788978577,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLTNcgUmoU9J8kCWvvCc9NVf1BpixW7GSpSh4LqZ8ojH/image.png,https://nftstorage.link/ipfs/bafybeifreq6b4h7vazrhl7csry5ld5tklkis7dpbw2vgjmy6vikdq2n6zi/2708.png
2708,drifella 2 #2708,that battles with,0.9804875955862158,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLTNcgUmoU9J8kCWvvCc9NVf1BpixW7GSpSh4LqZ8ojH/image.png,https://nftstorage.link/ipfs/bafybeifreq6b4h7vazrhl7csry5ld5tklkis7dpbw2vgjmy6vikdq2n6zi/2708.png
2708,drifella 2 #2708,imself,0.9696107904116312,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLTNcgUmoU9J8kCWvvCc9NVf1BpixW7GSpSh4LqZ8ojH/image.png,https://nftstorage.link/ipfs/bafybeifreq6b4h7vazrhl7csry5ld5tklkis7dpbw2vgjmy6vikdq2n6zi/2708.png
2708,drifella 2 #2708,eMerv,0.7061161816120147,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLTNcgUmoU9J8kCWvvCc9NVf1BpixW7GSpSh4LqZ8ojH/image.png,https://nftstorage.link/ipfs/bafybeifreq6b4h7vazrhl7csry5ld5tklkis7dpbw2vgjmy6vikdq2n6zi/2708.png
2409,drifella 2 #2409,Buying all blue hides : doddg5441223'*,0.8389211869553516,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,200ki,0.5147796630859375,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Selhsg d' bones 2 5k ey0o kl ts00k,0.7740988705088111,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Bugg skairs!@,0.7857497242780832,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,50k,0.9846601883570353,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,00k,0.9877807895342509,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,500k,0.8322811871767044,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,500k,0.9973421990871429,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,500h,0.8133831843733788,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,120,0.9996307492256165,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Sullinyrune pls g sooi!,0.8554077290970347,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Selling 1k Inws 300k,0.920466810464859,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Selling d hallyt,0.9504713974893093,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,50k,0.9899402658144633,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Selhng d med,0.9732320805390676,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Cannnthat Sieit,0.8160162508487702,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,Mur,0.5228940149148306,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
2409,drifella 2 #2409,2.51.,0.6672266840934753,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLVx5GUJhQLatuJfv5mWNKNom2Vtm678Bgm38LVizib2/image.png,https://nftstorage.link/ipfs/bafybeihr5rodo5hkrbm32ts6q3b5yq6wlfjqvlxetr2zm7eq2vpsdmfsmq/2409.png
