assetId,tokenNumber,name,text,score,imagePath
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,i'ms,0.6966596990823746,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,sorry1,0.912282814582189,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,wasn,0.9769850969314575,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,there.to.protect,0.9993811398744583,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG,3104,drifella 2 #3104,you,0.9891746640205383,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2ZD2DfUdAa3hHz2RunqUfy2CZNotGMdWjS6sF9TxDJG/image.png
H2KdssKM839L39snQ9Pn3hadRfNLvGCYFAYbcag8QZi5,2329,drifella 2 #2329,SWAG,0.9821981191635132,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2KdssKM839L39snQ9Pn3hadRfNLvGCYFAYbcag8QZi5/image.png
H2LMBmrSoWMvBrspsyeX4CbhxZSmCvEycbgY15ib2tVL,7593,drifella 2 #7593,Nazi zombies,0.9994649078164782,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2LMBmrSoWMvBrspsyeX4CbhxZSmCvEycbgY15ib2tVL/image.png
H37qytKv6JECkzXHfVizZeRa2mBAeF38V9xBBrTYLeRe,7152,drifella 2 #7152,azi,0.8409774899482727,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H37qytKv6JECkzXHfVizZeRa2mBAeF38V9xBBrTYLeRe/image.png
H37qytKv6JECkzXHfVizZeRa2mBAeF38V9xBBrTYLeRe,7152,drifella 2 #7152,bies,0.9763623178005219,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H37qytKv6JECkzXHfVizZeRa2mBAeF38V9xBBrTYLeRe/image.png
H2iGB4aBxfjgYiZ24w2YJiK1a99WwZAgxVZ63Mq193k9,4284,drifella 2 #4284,MEAN,0.984793022274971,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2iGB4aBxfjgYiZ24w2YJiK1a99WwZAgxVZ63Mq193k9/image.png
